N. furzeri Protein Id	Human
XP_015806147.1	
XP_015827895.1	POLR3G
XP_015804077.1	GPER1
XP_015818870.1	GPER1
XP_015806450.1	CACNA1F
XP_015822730.1	CACNA1F
XP_015798604.1	WDR41
XP_015816906.1	
XP_015797271.1	
XP_015819783.1	GTF2H1
XP_015830272.1	ZBED9
XP_015821812.1	ZBED9
XP_015821188.1	ZBED9
XP_015832410.1	ZBED9
XP_015831529.1	ZBED9
XP_015797760.1	ZBED9
XP_015832856.1	ZBED9
XP_015796852.1	ZBED9
XP_015804605.1	ZBED9
XP_015832085.1	ZBED9
XP_015797185.1	ZBED9
XP_015799541.1	WBP1L
XP_015830219.1	WBP1L
XP_015816976.1	CDKN2AIPNL
XP_015826466.1	TTC22
XP_015809036.1	MYEF2
XP_015797218.1	CXCL8
XP_015806937.1	SLC30A1
XP_015802936.1	SLC30A1
XP_015830045.1	RAB3B
XP_015799672.1	VCL
XP_015818068.1	VCL
XP_015796665.1	
XP_015805485.1	SIGLEC12
XP_015824275.1	
XP_015830226.1	CYP26C1
XP_015832388.1	CHRNA2
XP_015823668.1	FGD3
XP_015830296.1	MCM3AP
XP_015799255.1	GUCY1A3
XP_015801184.1	RNF151
XP_015808033.1	
XP_015827883.1	SMN1
XP_015826019.1	SMN1
XP_015811361.1	ITGB8
XP_015827026.1	ZBTB7A
XP_015826395.1	BABAM1
XP_015812943.1	PNKD
XP_015822304.1	PNKD
XP_015823999.1	SIKE1
XP_015797414.1	
XP_015798398.1	ESM1
XP_015815388.1	NAAA
XP_015816380.1	MTPN
XP_015832612.1	NPPA
XP_015822726.1	FAM110A
XP_015799222.1	MOGS
XP_015825192.1	D2HGDH
XP_015801084.1	TRAP1
XP_015817914.1	TAX1BP1
XP_015830456.1	TAX1BP1
XP_015811427.1	TAX1BP1
XP_015797089.1	TAX1BP1
XP_015818367.1	POLR3E
XP_015818326.1	NAT9
XP_015814341.1	TGFA
XP_015832112.1	TNF
XP_015812767.1	TRNAU1AP
XP_015811289.1	TRNAU1AP
XP_015811133.1	ZNF559-ZNF177
XP_015830450.1	ZNF559-ZNF177
XP_015815825.1	RSPH14
XP_015798977.1	ITM2A
XP_015826353.1	UBA52
XP_015816056.1	PPIL3
XP_015802327.1	
XP_015819201.1	COPS3
XP_015809263.1	HAS3
XP_015820660.1	HAS3
XP_015815189.1	PRPH
XP_015802794.1	STX5
XP_015798935.1	TAF1C
XP_015826914.1	C1orf112
XP_015802053.1	MARK2
XP_015798555.1	KIF2A
XP_015828010.1	KIF2A
XP_015825275.1	LBH
XP_015803314.1	LBH
XP_015827816.1	ANTXR2
XP_015796808.1	ANTXR2
XP_015832101.1	ANTXR2
XP_015815715.1	ANTXR2
XP_015821930.1	PRKRA
XP_015824549.1	JMJD7
XP_015821580.1	LPAR2
XP_015819775.1	ATOH8
XP_015825571.1	FCRL5
XP_015830150.1	FCRL5
XP_015805758.1	TRIM69
XP_015831397.1	CEP85
XP_015832630.1	CCBL2
XP_015820057.1	IQSEC3
XP_015814898.1	IQSEC3
XP_015810716.1	TRIM55
XP_015811475.1	TRIM55
XP_015822825.1	TRIM55
XP_015830406.1	MMS22L
XP_015797648.1	EGLN3
XP_015808682.1	ANXA2
XP_015819943.1	ANXA2
XP_015829697.1	ANXA2
XP_015815001.1	B3GALT6
XP_015817055.1	OVCA2
XP_015801546.1	GAB1
XP_015821087.1	GAB1
XP_015796846.1	
XP_015819834.1	KBTBD4
XP_015809577.1	LARP6
XP_015811812.1	LARP6
XP_015797568.1	
XP_015810725.1	ARFGEF1
XP_015809745.1	ATF7IP
XP_015822840.1	ATF7IP
XP_015821643.1	NCK2
XP_015809964.1	ZDHHC5
XP_015811852.1	PYROXD1
XP_015814529.1	CCDC63
XP_015823546.1	TP53INP2
XP_015823548.1	TP53INP2
XP_015807250.1	TRIP12
XP_015831296.1	CMPK1
XP_015814989.1	ACAP3
XP_015798694.1	ACAP3
XP_015801256.1	ACAP3
XP_015799380.1	
XP_015818944.1	SLC17A7
XP_015801363.1	SLC17A7
XP_015806535.1	IFT80
XP_015822187.1	AKAP17A
XP_015797362.1	RGS8
XP_015826644.1	RGS8
XP_015830265.1	
XP_015819629.1	TMCC3
XP_015817843.1	TMCC3
XP_015800359.1	ZBTB5
XP_015809648.1	ZBTB5
XP_015823191.1	DNASE1L3
XP_015824347.1	DNASE1L3
XP_015824307.1	DNASE1L3
XP_015827998.1	ANKDD1B
XP_015817962.1	PPP1R3C
XP_015827769.1	PPP1R3C
XP_015830120.1	PPP1R3C
XP_015820444.1	UQCRFS1
XP_015804751.1	SLC25A32
XP_015819875.1	ZWILCH
XP_015829975.1	TBRG4
XP_015796024.1	SIRPB2
XP_015814391.1	RRP9
XP_015812898.1	HHATL
XP_015810638.1	HHATL
XP_015800633.1	EPOR
XP_015814913.1	GOLGA7
XP_015808187.1	CENPQ
XP_015814123.1	BCL2L14
XP_015817747.1	BCL2L14
XP_015801481.1	RAD9A
XP_015804850.1	MAP7D2
XP_015816270.1	MAP7D2
XP_015811048.1	MAP7D2
XP_015804665.1	PRELID3B
XP_015822915.1	PRELID3B
XP_015814668.1	PRELID3B
XP_015822134.1	IGF2BP2
XP_015815878.1	DDX31
XP_015802870.1	ERH
XP_015824809.1	ERH
XP_015822449.1	NTHL1
XP_015798533.1	CCBL1
XP_015820255.1	ARNTL
XP_015820766.1	ARNTL
XP_015826301.1	CTD-2550O8.5
XP_015823837.1	TPD52L2
XP_015822788.1	TPD52L2
XP_015818627.1	STAB2
XP_015802667.1	OSTM1
XP_015816956.1	FNIP1
XP_015807282.1	CPLX1
XP_015823503.1	CPLX1
XP_015813679.1	HACD4
XP_015817376.1	FOXRED1
XP_015809982.1	HNRNPLL
XP_015796485.1	POLQ
XP_015796202.1	POLQ
XP_015809644.1	POLQ
XP_015829161.1	UBAP2L
XP_015811874.1	IGDCC3
XP_015805185.1	IGDCC3
XP_015808640.1	IGDCC3
XP_015827578.1	NCOR2
XP_015823364.1	ACVR1
XP_015825193.1	ACVR1
XP_015822102.1	ACVR1
XP_015797400.1	
XP_015822872.1	SLX4
XP_015830320.1	MAP7D1
XP_015805555.1	MAP7D1
XP_015825487.1	ASPSCR1
XP_015797616.1	PTRH2
XP_015816179.1	PTRH2
XP_015813322.1	HSF2BP
XP_015803108.1	RAB10
XP_015799174.1	RP11-766F14.2
XP_015831832.1	RP11-766F14.2
XP_015813676.1	RP11-766F14.2
XP_015812462.1	SCHIP1
XP_015827388.1	PALM2
XP_015796594.1	NUP50
XP_015806177.1	
XP_015801348.1	HIRIP3
XP_015825795.1	CCK
XP_015804704.1	CCK
XP_015811170.1	CCK
XP_015821548.1	SCEL
XP_015810176.1	MYL12B
XP_015812071.1	MYL12B
XP_015811791.1	TMEM59
XP_015809590.1	CYP1A1
XP_015827719.1	CYP1A1
XP_015803802.1	KRTAP4-3
XP_015802771.1	
XP_015829692.1	TPMT
XP_015809438.1	ADGRG6
XP_015832725.1	ADGRG6
XP_015803388.1	ADGRG6
XP_015807947.1	NBEAL1
XP_015830644.1	NBEAL1
XP_015827601.1	ADGRD1
XP_015821405.1	FAM124A
XP_015801335.1	ZNF197
XP_015831644.1	ZNF197
XP_015797726.1	VAX1
XP_015813598.1	MEN1
XP_015808422.1	TLR1
XP_015800526.1	TLR1
XP_015813393.1	XDH
XP_015800718.1	MCM5
XP_015815093.1	NAB2
XP_015822889.1	HYAL3
XP_015800349.1	MGMT
XP_015821879.1	LECT1
XP_015812962.1	LECT1
XP_015813484.1	DNPEP
XP_015821305.1	LACC1
XP_015821851.1	EGFL6
XP_015831340.1	TMA16
XP_015803463.1	STX7
XP_015812914.1	SCN9A
XP_015818244.1	C10orf2
XP_015831469.1	SAR1B
XP_015816979.1	SAR1B
XP_015818516.1	SAR1B
XP_015806189.1	SERTAD3
XP_015809439.1	SLC7A6
XP_015823948.1	SNPH
XP_015824251.1	SNPH
XP_015813122.1	C8B
XP_015814810.1	OTOP1
XP_015798514.1	UCK1
XP_015819871.1	LCTL
XP_015808743.1	LCTL
XP_015813968.1	CEPT1
XP_015799067.1	GSG2
XP_015817758.1	DGKI
XP_015808521.1	NUDT21
XP_015806739.1	B3GNT2
XP_015831802.1	B3GNT2
XP_015808162.1	B3GNT2
XP_015800468.1	B3GNT2
XP_015809859.1	B3GNT2
XP_015825044.1	DNMT3A
XP_015803092.1	DNMT3A
XP_015817850.1	INPP5D
XP_015813752.1	RBBP5
XP_015800904.1	ASRGL1
XP_015797167.1	ASRGL1
XP_015830129.1	ASRGL1
XP_015830778.1	VPS37C
XP_015819474.1	ARID3B
XP_015809500.1	ARID3B
XP_015813701.1	MTA2
XP_015829777.1	DOC2A
XP_015818733.1	DOC2A
XP_015822149.1	SMARCAL1
XP_015808670.1	ZNF710
XP_015819989.1	ZNF710
XP_015826159.1	ATP13A3
XP_015832361.1	ATP13A3
XP_015818867.1	TSR3
XP_015796274.1	UBE2M
XP_015830000.1	UBE2M
XP_015828290.1	GRID2
XP_015808034.1	SLITRK6
XP_015797079.1	MYH3
XP_015816757.1	SPRY4
XP_015820858.1	COTL1
XP_015814332.1	PATZ1
XP_015821849.1	OFD1
XP_015811478.1	TTC19
XP_015802221.1	NCKAP5
XP_015831460.1	NCKAP5
XP_015817267.1	SSC4D
XP_015813691.1	SLX1B
XP_015813256.1	MTM1
XP_015800651.1	NAA60
XP_015822892.1	FAM195A
XP_015801289.1	FAM195A
XP_015828936.1	
XP_015796695.1	
XP_015817226.1	HEATR6
XP_015799762.1	ZNF488
XP_015829259.1	MYLIP
XP_015832141.1	PAQR3
XP_015815710.1	PAQR3
XP_015823213.1	AHCYL2
XP_015812694.1	AHCYL2
XP_015815342.1	AHCYL2
XP_015820234.1	AHCYL2
XP_015810592.1	ZIC1
XP_015804675.1	ZIC1
XP_015810594.1	ZIC1
XP_015821429.1	PLEKHM3
XP_015831024.1	SLC5A6
XP_015825026.1	SLC5A6
XP_015813499.1	
XP_015807013.1	
XP_015817944.1	ARMC7
XP_015804663.1	FBXO32
XP_015798504.1	PHYHD1
XP_015806459.1	C2CD3
XP_015824239.1	
XP_015816675.1	C11orf54
XP_015804103.1	INTS1
XP_015802354.1	FGF20
XP_015823365.1	FGF20
XP_015828650.1	ADAMTS12
XP_015799089.1	ANKRD49
XP_015828377.1	HABP4
XP_015820797.1	SMPD3
XP_015832250.1	SMPD3
XP_015806130.1	ALG2
XP_015797904.1	CRYBB3
XP_015827513.1	CRYBB3
XP_015829350.1	GNB3
XP_015805730.1	GNB3
XP_015796187.1	PCDHGA11
XP_015832193.1	PCDHGA11
XP_015796857.1	PCDHGA11
XP_015832198.1	PCDHGA11
XP_015832195.1	PCDHGA11
XP_015797743.1	PCDHGA11
XP_015832194.1	PCDHGA11
XP_015796778.1	PCDHGA11
XP_015832202.1	PCDHGA11
XP_015797744.1	PCDHGA11
XP_015805630.1	NAT14
XP_015819275.1	ASZ1
XP_015815214.1	NELFCD
XP_015807068.1	FAM98C
XP_015808565.1	DENND5A
XP_015798080.1	IL4I1
XP_015807640.1	IL4I1
XP_015798079.1	IL4I1
XP_015820231.1	KXD1
XP_015826344.1	DDX49
XP_015797734.1	MPHOSPH9
XP_015799015.1	MPHOSPH9
XP_015827215.1	
XP_015809985.1	NUP133
XP_015803743.1	RAD51AP2
XP_015819003.1	AQP8
XP_015815479.1	PARP11
XP_015814972.1	PARP11
XP_015809578.1	TM2D3
XP_015828847.1	TNXB
XP_015812448.1	TNXB
XP_015820115.1	SEMA3D
XP_015811824.1	SPPL2B
XP_015813196.1	MDGA2
XP_015805631.1	MDGA2
XP_015803584.1	MDGA2
XP_015824899.1	MDGA2
XP_015819995.1	RASEF
XP_015828263.1	RASEF
XP_015816462.1	ZNF185
XP_015829763.1	ZNF185
XP_015830261.1	RASD1
XP_015819198.1	RASD1
XP_015801047.1	RASD1
XP_015802097.1	TSC22D3
XP_015796107.1	TSC22D3
XP_015802019.1	
XP_015824570.1	OSR1
XP_015806814.1	LHFP
XP_015830159.1	
XP_015806207.1	EML2
XP_015819750.1	GAS2
XP_015808643.1	GAS2
XP_015808644.1	GAS2
XP_015801106.1	PCDHA8
XP_015830852.1	PCDHA8
XP_015800892.1	PCDHA8
XP_015801067.1	PCDHA8
XP_015797481.1	PCDHA8
XP_015830849.1	PCDHA8
XP_015830709.1	GJB1
XP_015816530.1	GJB1
XP_015796151.1	ADCK5
XP_015814176.1	APPL1
XP_015832189.1	EFNA5
XP_015828367.1	EFNA5
XP_015805921.1	EFNA5
XP_015832338.1	EFNA5
XP_015798750.1	EFNA5
XP_015797247.1	VRK1
XP_015822253.1	MYO1B
XP_015801742.1	UFSP2
XP_015799254.1	UFSP2
XP_015806209.1	WBSCR17
XP_015830724.1	
XP_015825486.1	YWHAB
XP_015813916.1	YWHAB
XP_015804823.1	YWHAB
XP_015829223.1	YWHAB
XP_015823617.1	YWHAB
XP_015797158.1	POLE4
XP_015832090.1	SNX18
XP_015828662.1	SNX18
XP_015826444.1	ANOS1
XP_015821837.1	ANOS1
XP_015819441.1	
XP_015809174.1	
XP_015796253.1	CD274
XP_015804805.1	KCNS2
XP_015821010.1	UBE2F
XP_015820708.1	USB1
XP_015817611.1	CEP131
XP_015825828.1	ERICH1
XP_015810550.1	COA6
XP_015818313.1	QKI
XP_015825348.1	QKI
XP_015804450.1	ZIM3
XP_015821752.1	GPR89A
XP_015797001.1	RHOF
XP_015816975.1	UBE2B
XP_015811402.1	WIPF3
XP_015827562.1	NPY1R
XP_015830833.1	NPY1R
XP_015797564.1	NPY1R
XP_015831813.1	NPY1R
XP_015832067.1	RBM46
XP_015830706.1	VMA21
XP_015796027.1	PNLIPRP1
XP_015824449.1	CSNK1D
XP_015799932.1	PSME4
XP_015818530.1	STAR
XP_015819036.1	STAR
XP_015813747.1	NISCH
XP_015824651.1	NIN
XP_015800691.1	EFNB1
XP_015830469.1	CLSPN
XP_015813572.1	EIF4A1
XP_015820980.1	TMEFF2
XP_015808829.1	MPHOSPH10
XP_015796536.1	INADL
XP_015830893.1	INADL
XP_015796190.1	INADL
XP_015809780.1	HMGXB4
XP_015800717.1	HMGXB4
XP_015797478.1	POLR1A
XP_015823778.1	POLR1A
XP_015828643.1	UTP15
XP_015832113.1	PFN2
XP_015826177.1	PFN2
XP_015797584.1	PFN2
XP_015797560.1	PFN2
XP_015796392.1	RAI14
XP_015828954.1	EHMT2
XP_015812648.1	SPIN1
XP_015827072.1	SPIN1
XP_015815834.1	SPIN1
XP_015798892.1	SPIN1
XP_015819923.1	LRRC61
XP_015832579.1	ARPP19
XP_015819721.1	ARPP19
XP_015817364.1	ZC4H2
XP_015831490.1	MON2
XP_015809718.1	FIP1L1
XP_015827172.1	FIP1L1
XP_015818237.1	DYDC1
XP_015816454.1	CCHCR1
XP_015827866.1	GDA
XP_015800235.1	RGR
XP_015818489.1	RGR
XP_015823476.1	UBA1
XP_015814407.1	UBA1
XP_015819210.1	ASB12
XP_015815438.1	ASB12
XP_015821520.1	IRG1
XP_015826884.1	TLE1
XP_015828265.1	TLE1
XP_015817039.1	CCDC92
XP_015827576.1	CCDC92
XP_015807101.1	CCDC92
XP_015816459.1	NLGN3
XP_015829240.1	NLGN3
XP_015821960.1	SP9
XP_015821056.1	
XP_015800963.1	DEXI
XP_015828351.1	OXCT1
XP_015819604.1	PDIA2
XP_015827238.1	PIGX
XP_015800655.1	PDGFRL
XP_015806933.1	RELB
XP_015828080.1	SLC8B1
XP_015829792.1	
XP_015830961.1	GOPC
XP_015829685.1	ANGPT1
XP_015813987.1	ANGPT1
XP_015822565.1	ITGA5
XP_015815467.1	ITGA5
XP_015819073.1	SNU13
XP_015824207.1	LRIF1
XP_015810800.1	
XP_015803170.1	EMC7
XP_015808800.1	RIC3
XP_015832261.1	RIC3
XP_015808583.1	RIC3
XP_015804375.1	MREG
XP_015821794.1	MREG
XP_015798788.1	UGCG
XP_015797959.1	MYH11
XP_015797316.1	MYH11
XP_015796805.1	MYH11
XP_015826303.1	MYH11
XP_015814745.1	CIDEC
XP_015821743.1	MYO16
XP_015796612.1	CXorf57
XP_015816526.1	CXorf57
XP_015796769.1	COL8A1
XP_015821578.1	COL8A1
XP_015823033.1	COL8A1
XP_015830786.1	COL8A1
XP_015807610.1	CHRD
XP_015823801.1	CDH26
XP_015823800.1	CDH26
XP_015823797.1	CDH26
XP_015808293.1	KIF13A
XP_015822340.1	KIF13A
XP_015832610.1	KIF13A
XP_015821991.1	GORASP2
XP_015812973.1	GORASP2
XP_015812378.1	GIGYF2
XP_015803645.1	GPCPD1
XP_015799958.1	FOXN2
XP_015808106.1	ABCB6
XP_015810703.1	SPATA13
XP_015810307.1	SPATA13
XP_015796657.1	NCF2
XP_015830859.1	NCF2
XP_015810345.1	NCF2
XP_015819224.1	NARF
XP_015823396.1	RARG
XP_015815133.1	RARG
XP_015828846.1	MR1
XP_015829502.1	MR1
XP_015832047.1	ZNF74
XP_015828130.1	SLC6A4
XP_015830309.1	SLC6A4
XP_015830522.1	SLC6A4
XP_015797260.1	ZMAT5
XP_015799609.1	ABHD12
XP_015824948.1	ABHD12
XP_015800576.1	ABHD12
XP_015817137.1	SLC46A3
XP_015816720.1	KCNJ6
XP_015831356.1	CNDP2
XP_015829103.1	CNDP2
XP_015822820.1	DEDD
XP_015824383.1	PLA2G4C
XP_015819790.1	ATHL1
XP_015814802.1	PSMD6
XP_015798520.1	PTCD2
XP_015829194.1	TRPS1
XP_015820157.1	PDP2
XP_015830662.1	BTC
XP_015819119.1	STOX2
XP_015819328.1	STOX2
XP_015810110.1	
XP_015798060.1	ZC3H4
XP_015810879.1	ZC3H4
XP_015819642.1	FLNC
XP_015818565.1	FLNC
XP_015831316.1	BNIP3L
XP_015827736.1	BNIP3L
XP_015803969.1	CAMSAP3
XP_015821599.1	CAMSAP3
XP_015797654.1	ISL1
XP_015802871.1	MYCN
XP_015814147.1	MYCN
XP_015796217.1	
XP_015807837.1	BOLL
XP_015826217.1	SREK1IP1
XP_015807140.1	LRFN1
XP_015806283.1	LRFN1
XP_015806665.1	LRFN1
XP_015814455.1	C3orf18
XP_015819682.1	C3orf18
XP_015823933.1	C3orf18
XP_015814528.1	
XP_015804415.1	PRSS1
XP_015796226.1	PRSS1
XP_015797764.1	PRSS1
XP_015804443.1	PRSS1
XP_015806025.1	PRSS1
XP_015822592.1	PRSS1
XP_015806029.1	PRSS1
XP_015804444.1	PRSS1
XP_015806027.1	PRSS1
XP_015806026.1	PRSS1
XP_015808611.1	ALX4
XP_015820951.1	ALX4
XP_015819689.1	ALX4
XP_015811819.1	SOX5
XP_015830608.1	RTCA
XP_015826138.1	PDLIM7
XP_015832282.1	PDLIM7
XP_015826876.1	CDC34
XP_015812705.1	CDC34
XP_015796272.1	RBM18
XP_015799438.1	NID1
XP_015799645.1	SNX5
XP_015815117.1	SNX5
XP_015821951.1	ATF2
XP_015826398.1	MCC
XP_015800042.1	ALMS1
XP_015818444.1	ALMS1
XP_015824845.1	ALMS1
XP_015818967.1	MED24
XP_015807997.1	SAP18
XP_015811942.1	KCNQ3
XP_015811132.1	LPCAT2
XP_015808329.1	LPCAT2
XP_015800519.1	CDH11
XP_015832508.1	CDH11
XP_015820867.1	RSPRY1
XP_015811880.1	
XP_015822193.1	BARD1
XP_015815751.1	
XP_015829951.1	NELFB
XP_015830018.1	NELFB
XP_015808215.1	CMTM4
XP_015805081.1	CMTM4
XP_015808356.1	CHRNB4
XP_015814776.1	FAM19A1
XP_015831631.1	FAM19A1
XP_015809518.1	PSMD13
XP_015816235.1	PURA
XP_015807767.1	PURA
XP_015820131.1	
XP_015799417.1	MRPL2
XP_015796208.1	
XP_015805990.1	NACAD
XP_015822672.1	DVL1
XP_015828419.1	PRR16
XP_015826787.1	PRR16
XP_015796909.1	
XP_015807254.1	DNER
XP_015802300.1	USP47
XP_015802106.1	USP47
XP_015808438.1	USP47
XP_015802297.1	USP47
XP_015823373.1	LMBR1L
XP_015808969.1	GRPR
XP_015821706.1	GRPR
XP_015825094.1	PM20D2
XP_015832106.1	GLRX3
XP_015829859.1	EIF3I
XP_015832543.1	EIF3I
XP_015824123.1	SLC38A3
XP_015815289.1	SLC38A3
XP_015814404.1	SLC38A3
XP_015822780.1	SLC38A3
XP_015797026.1	
XP_015803625.1	
XP_015803443.1	
XP_015823280.1	TMPRSS11D
XP_015812450.1	MRPS14
XP_015796609.1	ZNF420
XP_015811260.1	ZNF420
XP_015811893.1	ZNF420
XP_015807885.1	ZNF420
XP_015798991.1	GTF3C5
XP_015830906.1	WDR35
XP_015809121.1	NEO1
XP_015804501.1	NEO1
XP_015815309.1	RAD18
XP_015810457.1	FAM92B
XP_015803627.1	PAK7
XP_015825152.1	TTBK1
XP_015802924.1	TTBK1
XP_015809872.1	TTBK1
XP_015797855.1	WBP1
XP_015799219.1	WBP1
XP_015832043.1	WBP1
XP_015819110.1	MAPK8
XP_015799757.1	MAPK8
XP_015822727.1	PRICKLE2
XP_015814797.1	PRICKLE2
XP_015823730.1	PRICKLE2
XP_015822206.1	TMEM198
XP_015815185.1	TMEM198
XP_015823914.1	TMEM198
XP_015813487.1	TMEM198
XP_015799651.1	ADAM8
XP_015817954.1	ADAM8
XP_015805659.1	RAP1GAP2
XP_015796979.1	
XP_015810657.1	KPNA1
XP_015809652.1	FBXO10
XP_015817789.1	ZNF648
XP_015821177.1	SLC35A5
XP_015810944.1	MYO3A
XP_015802687.1	GEN1
XP_015812903.1	PLCD1
XP_015810631.1	PLCD1
XP_015828593.1	5-Sep
XP_015797786.1	5-Sep
XP_015827353.1	ADORA2A
XP_015832642.1	ADORA2A
XP_015813935.1	ADORA2A
XP_015798061.1	CDC42EP2
XP_015832502.1	C7orf25
XP_015804851.1	
XP_015813398.1	PROZ
XP_015801975.1	LGI2
XP_015799179.1	LGI2
XP_015810591.1	PLSCR1
XP_015802403.1	PLSCR1
XP_015822510.1	HSD17B10
XP_015802290.1	LRP10
XP_015824740.1	DUSP16
XP_015818499.1	DUSP16
XP_015807733.1	GEMIN8
XP_015812049.1	TMEM236
XP_015810150.1	TMEM236
XP_015803311.1	TNFAIP2
XP_015824468.1	TNFAIP2
XP_015803024.1	SLC35A1
XP_015820372.1	PTPRJ
XP_015814927.1	SLC6A1
XP_015817298.1	SLC6A1
XP_015823632.1	SLC6A1
XP_015814569.1	SLC6A1
XP_015807424.1	OR52E4
XP_015821044.1	OR52E4
XP_015807425.1	OR52E4
XP_015806506.1	OR52E4
XP_015823432.1	WNT2B
XP_015814681.1	WNT2B
XP_015813617.1	GPR37
XP_015821142.1	GPR37
XP_015800288.1	PHYHIPL
XP_015818016.1	PHYHIPL
XP_015823351.1	TAC3
XP_015825190.1	ELL2
XP_015814852.1	ELL2
XP_015809053.1	NNT
XP_015796380.1	NNT
XP_015805482.1	
XP_015819419.1	ZNF143
XP_015823102.1	CNTN4
XP_015815442.1	CNTN4
XP_015815441.1	CNTN4
XP_015823108.1	CNTN4
XP_015801548.1	MYLK
XP_015829927.1	MYLK
XP_015818076.1	MYLK
XP_015804148.1	MYLK
XP_015813400.1	PCID2
XP_015828404.1	APLF
XP_015831922.1	RASSF6
XP_015801506.1	
XP_015826306.1	SLC5A5
XP_015832120.1	AHSG
XP_015801066.1	GLIS2
XP_015821477.1	GLIS2
XP_015821299.1	TMEM237
XP_015802126.1	TMEM237
XP_015825752.1	GREM1
XP_015803163.1	GREM1
XP_015810852.1	NXPE3
XP_015821685.1	NXPE3
XP_015796608.1	PSMB2
XP_015831314.1	ZNF93
XP_015797988.1	RLBP1
XP_015801522.1	RLBP1
XP_015819360.1	RLBP1
XP_015813655.1	ACSL4
XP_015799737.1	TMEM72
XP_015799321.1	HGSNAT
XP_015796136.1	HGSNAT
XP_015802256.1	RGP1
XP_015815728.1	CCL20
XP_015812679.1	CCL20
XP_015813221.1	CCL20
XP_015797156.1	CCL20
XP_015813223.1	CCL20
XP_015810971.1	CCL20
XP_015831067.1	REPS2
XP_015821123.1	CADPS2
XP_015809747.1	3-Sep
XP_015800667.1	DUSP3
XP_015821118.1	DUSP3
XP_015818154.1	DUSP3
XP_015822627.1	NAT8L
XP_015802261.1	NAT8L
XP_015796263.1	ZNF225
XP_015824778.1	TRAF3
XP_015797561.1	FMO4
XP_015817455.1	FMO4
XP_015820434.1	TRABD
XP_015824588.1	DAPP1
XP_015814665.1	NRF1
XP_015807545.1	APPBP2
XP_015797257.1	SEMA5B
XP_015821392.1	SEMA5B
XP_015813789.1	MANF
XP_015828030.1	SERINC5
XP_015830325.1	KIAA0319L
XP_015803823.1	HMBOX1
XP_015832785.1	HMBOX1
XP_015832795.1	HMBOX1
XP_015830503.1	LRRN2
XP_015817965.1	EBF3
XP_015800350.1	EBF3
XP_015807829.1	EBF3
XP_015821153.1	BCAR1
XP_015811257.1	STX12
XP_015815675.1	ARFGAP3
XP_015831521.1	PDZD3
XP_015816182.1	PDZD3
XP_015801426.1	MAPK3
XP_015826816.1	ABL2
XP_015817061.1	CCNA1
XP_015814014.1	CCNDBP1
XP_015814922.1	MSX1
XP_015812380.1	USP15
XP_015824425.1	RRN3
XP_015832211.1	PCDHB16
XP_015832196.1	PCDHB16
XP_015832208.1	PCDHB16
XP_015832212.1	PCDHB16
XP_015829498.1	TAP2
XP_015817945.1	TAP2
XP_015829069.1	SNX27
XP_015805908.1	SNX27
XP_015802237.1	NFKBIZ
XP_015807583.1	NFKBIZ
XP_015808554.1	EIF4G2
XP_015819273.1	EIF4G2
XP_015820286.1	POLG
XP_015819075.1	FAAP100
XP_015815864.1	C5
XP_015813667.1	PAQR9
XP_015823553.1	MAF
XP_015827226.1	MAF
XP_015824870.1	PANK2
XP_015816977.1	JADE2
XP_015811656.1	ST6GALNAC5
XP_015826961.1	ST6GALNAC5
XP_015827001.1	NPL
XP_015826205.1	POLR2H
XP_015798999.1	CCDC62
XP_015827809.1	C9orf78
XP_015807721.1	VEGFC
XP_015809835.1	VEGFC
XP_015821999.1	UBR3
XP_015823156.1	HES1
XP_015826165.1	HES1
XP_015813249.1	HES1
XP_015832158.1	
XP_015826332.1	PIK3R2
XP_015827616.1	SLC15A4
XP_015829642.1	GJA9
XP_015813392.1	F7
XP_015813387.1	F7
XP_015820997.1	HDAC4
XP_015807745.1	HDAC4
XP_015796111.1	MTF2
XP_015796784.1	MTF2
XP_015831554.1	MTF2
XP_015820445.1	TXNDC11
XP_015814074.1	NUDT3
XP_015828627.1	SLC25A1
XP_015831004.1	SLC25A1
XP_015817207.1	SLC25A1
XP_015815935.1	FIBCD1
XP_015798709.1	FIBCD1
XP_015816921.1	HMP19
XP_015832658.1	FRG1
XP_015827547.1	ANAPC5
XP_015820119.1	SEMA3E
XP_015824972.1	TULP4
XP_015802686.1	TULP4
XP_015813964.1	PCK1
XP_015818907.1	PRR35
XP_015826989.1	PLIN3
XP_015796080.1	CYP21A2
XP_015799379.1	NME5
XP_015807511.1	SRPRA
XP_015806502.1	STIM1
XP_015831963.1	STIM1
XP_015796647.1	OSBP2
XP_015828517.1	OSBP2
XP_015828647.1	GCK
XP_015828601.1	C22orf39
XP_015816455.1	TUB
XP_015808584.1	TUB
XP_015818862.1	TUB
XP_015804954.1	LY75
XP_015808936.1	LY75
XP_015825927.1	MOCS3
XP_015803774.1	RPS7
XP_015830467.1	RECK
XP_015821588.1	NR0B1
XP_015808496.1	ZNF280D
XP_015810517.1	NIFK
XP_015796508.1	TBXAS1
XP_015820454.1	TBXAS1
XP_015830817.1	TBXAS1
XP_015826517.1	MICALL1
XP_015800818.1	MICALL1
XP_015802661.1	NXF1
XP_015813893.1	IGSF21
XP_015816092.1	FUBP3
XP_015797991.1	FUBP3
XP_015803591.1	FAU
XP_015815018.1	
XP_015796262.1	MRRF
XP_015826825.1	TTC39A
